TAXAID,COMMONNAME,FAMILY,newFAMILY,GENUS,BCG_ATTR,BCGATTR_ROMAN,BCG_ATTR2,BCG_ATTR2_ROMAN,BCG_NUM,NATIVE,TROPHIC,HABITAT,REPRODUCTION,TYPE,SCC,SCC_Summary,USGS_range,Thermal_indicator,CONNECTIVITY
NOTURUS EXILIS,SLENDER MADTOM,ICTALURIDAE,,NOTURUS,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B;F,COMPLEX NEST,,TRUE,Endangered,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=744,cowa,FALSE
PERCA FLAVESCENS,YELLOW PERCH,PERCIDAE,,PERCA,4,IV,4_WORSE,IVb,4.5,NATIVE,TC,W,BROADCASTER,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=820,cowa,FALSE
PERCINA FULVITAENIA,OZARK LOGPERCH,PERCIDAE,,PERCINA,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,B,LITHOPHIL,,FALSE,,,cowa,FALSE
PERCINA MACULATA,BLACKSIDE DARTER,PERCIDAE,,PERCINA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B,BROADCASTER; MIGRATORY; LITHOPHIL,,TRUE,SCC_Thrtnd,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=823,cowa,FALSE
CHROSOMUS,DACE,CYPRINIDAE,LEUCISCIDAE,CHROSOMUS,4,IV,4_BETTER,IVa,4,NATIVE,OM,,,,FALSE,,,cool,FALSE
CHROSOMUS ERYTHROGASTER,SOUTHERN REDBELLY DACE,CYPRINIDAE,LEUCISCIDAE,CHROSOMUS,3,III,3_BETTER,IIIa,3,NATIVE,HB,F,BROADCASTER; LITHOPHIL,,FALSE,,,cool,FALSE
CULAEA INCONSTANS,BROOK STICKLEBACK,GASTEROSTEIDAE,,CULAEA,4,IV,4_BETTER,IVa,4,NATIVE,IV,W,COMPLEX NEST,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=701,cool,FALSE
ETHEOSTOMA FLABELLARE,FANTAIL DARTER,PERCIDAE,,ETHEOSTOMA,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,COMPLEX NEST,,FALSE,,,cool,FALSE
HYBOPSIS DORSALIS,BIGMOUTH SHINER,CYPRINIDAE,LEUCISCIDAE,HYBOPSIS,4,IV,4_BETTER,IVa,4,NATIVE,IV,F,BROADCASTER,,FALSE,,,cool,FALSE
HYPENTELIUM NIGRICANS,NORTHERN HOG SUCKER,CATOSTOMIDAE,,HYPENTELIUM,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,BROADCASTER; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=360,cool,FALSE
LETHENTERON APPENDIX,AMERICAN BROOK LAMPREY,PETROMYZONTIDAE,,LETHENTERON,3,III,3_BETTER,IIIa,3,NATIVE,OM,F,LITHOPHIL,NPL,TRUE,Threatened,,cool,FALSE
MICROPTERUS DOLOMIEU,SMALLMOUTH BASS,CENTRARCHIDAE,,MICROPTERUS,3,III,3_BETTER,IIIa,3,NATIVE,TC,W,COMPLEX NEST; LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=396,cool,FALSE
RHINICHTHYS ATRATULUS,EASTERN BLACKNOSE DACE,CYPRINIDAE,LEUCISCIDAE,RHINICHTHYS,3,III,3_MIDDLE,III,3,NATIVE,OM,F,LITHOPHIL,,FALSE,,https://nas.er.usgs.gov/queries/FactSheet.aspx?SpeciesID=637,cool,FALSE
