Taxon_orig,Rationale,OTU_MetricCalc,OTU_BCG_ORWA,OTU_BCG_ORWA_worms
Pseudochironomus,,Pseudochironomus,Pseudochironomus,Pseudochironomus
Pseudocloeon,Current Nomenclature,Labiobaetis,Labiobaetis,Labiobaetis
Pseudocloeon propinquum,Current Nomenclature,Labiobaetis,Labiobaetis,Labiobaetis
Pseudodiamesa,,Pseudodiamesa,Pseudodiamesa,Pseudodiamesa
Pseudofeltria,,Pseudofeltria,Pseudofeltria,Pseudofeltria
Pseudokiefferiella,,Pseudokiefferiella,Pseudokiefferiella,Pseudokiefferiella
Pseudolimnophila,,Pseudolimnophila,Pseudolimnophila,Pseudolimnophila
Pseudorthocladius,,Pseudorthocladius,Pseudorthocladius,Pseudorthocladius
Pseudosmittia,,Pseudosmittia,Pseudosmittia,Pseudosmittia
Pseudostenophylax,,Pseudostenophylax,Pseudostenophylax,Pseudostenophylax
Pseudostenophylax edwardsi,,Pseudostenophylax,Pseudostenophylax,Pseudostenophylax
Pseudosuccinea,,Lymnaeidae,Lymnaeidae,Lymnaeidae
Pseudosuccinea columella,,Lymnaeidae,Lymnaeidae,Lymnaeidae
Psilometriocnemus,,Psilometriocnemus,Psilometriocnemus,Psilometriocnemus
Psilometriocnemus triannulatus,,Psilometriocnemus,Psilometriocnemus,Psilometriocnemus
Psilotreta,Not known in region ( Eastern Taxon),DNI,DNI,DNI
Psychoda,,Psychodini,Psychodini,Psychodini
Psychodidae,,Psychodidae,Psychodidae,Psychodidae
Psychodinae,,Psychodidae,Psychodidae,Psychodidae
Psychodini,,Psychodini,Psychodini,Psychodini
Psychoglypha,,Psychoglypha,Psychoglypha,Psychoglypha
Psychoglypha bella,"Wisseman et al. (in prep) is working on a key to separate out several species and groups that are widespread and common in PNW streams, but for now genus is the STE.",Psychoglypha,Psychoglypha,Psychoglypha
Psychoglypha subborealis,"Wisseman et al. (in prep) is working on a key to separate out several species and groups that are widespread and common in PNW streams, but for now genus is the STE.",Psychoglypha,Psychoglypha,Psychoglypha
Psychomyia,,Psychomyia,Psychomyia,Psychomyia
Psychomyia flavida,,Psychomyia,Psychomyia,Psychomyia
Psychomyia lumina,,Psychomyia,Psychomyia,Psychomyia
Psychomyiidae,,Psychomyiidae,Psychomyiidae,Psychomyiidae
Pteronarcella,,Pteronarcella,Pteronarcella,Pteronarcella
Pteronarcella badia,,Pteronarcella,Pteronarcella,Pteronarcella
Pteronarcella regularis,,Pteronarcella,Pteronarcella,Pteronarcella
Pteronarcyidae,,Pteronarcyidae,Pteronarcyidae,Pteronarcyidae
Pteronarcys,,Pteronarcys,Pteronarcys,Pteronarcys
Pteronarcys californica,,Pteronarcys californica,Pteronarcys californica,Pteronarcys californica
Pteronarcys dorsata,,Pteronarcys dorsata,Pteronarcys dorsata,Pteronarcys dorsata
Pteronarcys princeps,,Pteronarcys princeps,Pteronarcys princeps,Pteronarcys princeps
Ptiliidae,Terrestrial,DNI,DNI,DNI
Ptilodactylidae,,Ptilodactylidae,Ptilodactylidae,Ptilodactylidae
Ptilostomis,,Ptilostomis,Ptilostomis,Ptilostomis
Ptilostomis ocellifera,,Ptilostomis,Ptilostomis,Ptilostomis
Ptychoptera,,Ptychoptera,Ptychoptera,Ptychoptera
Ptychopteridae,,Ptychopteridae,Ptychopteridae,Ptychopteridae
Pulmonata,TOO COARSE,Gastropoda,Gastropoda,Gastropoda
Pycnopsyche,,Limnephilidae,Limnephilidae,Limnephilidae
Pyganodon,,Unionoidea,Unionoidea,Unionoidea
Pyralidae,Lot of these are terrestrial,DNI,DNI,DNI
Pyrgulopsis,,Truncatelloidea,Truncatelloidea,Truncatelloidea
Quistadrilus multisetosus,,Quistadrilus multisetosus,Oligochaeta,Tubificinae
Quistradrilus,monotypic,Quistadrilus multisetosus,Oligochaeta,Tubificinae
Radix,monotypic,Radix auricularia,Radix auricularia,Radix auricularia
Radix auricularia,,Radix auricularia,Radix auricularia,Radix auricularia
Radotanypus,,Radotanypus,Radotanypus,Radotanypus
Radotanypus submarginella,,Radotanypus,Radotanypus,Radotanypus
Ramellogammarus,,Ramellogammarus,Ramellogammarus,Ramellogammarus
Ranatra,"NonTarget - Hemiptera, water column or surface dwellers",Ranatra,Ranatra,Ranatra
Ranatra fusca,"NonTarget - Hemiptera, water column or surface dwellers",Ranatra fusca,Ranatra fusca,Ranatra fusca
Randidrilus,,Enchytraeidae,Oligochaeta,Oligochaeta
Raptoheptagenia cruentata,,Raptoheptagenia cruentata,Raptoheptagenia cruentata,Raptoheptagenia cruentata
Reomyia,Current Nomenclature,Zavrelimyia,Zavrelimyia,Zavrelimyia
Rhabdomastix,,Rhabdomastix,Rhabdomastix,Rhabdomastix
Rhabdomastix (Lurdia),,Rhabdomastix (Lurdia),Rhabdomastix (Lurdia),Rhabdomastix (Lurdia)
Rhabdomastix (Rhabdomastix (Rhabdomastix)),,Rhabdomastix,Rhabdomastix,Rhabdomastix
Rhabdomastix (Rhabdomastix),,Rhabdomastix,Rhabdomastix,Rhabdomastix
Rhabdomastix (Rhabdomastix) type A,,Rhabdomastix (Rhabdomastix) type A,Rhabdomastix (Rhabdomastix) type A,Rhabdomastix (Rhabdomastix) type A
Rhabdomastix fascigera gr.,,Rhabdomastix,Rhabdomastix,Rhabdomastix
Rhabdomastix Fascigera Group,,Rhabdomastix,Rhabdomastix,Rhabdomastix
Rhabdomastix fascigera group,best to leave at genus,Rhabdomastix,Rhabdomastix,Rhabdomastix
Rhabdomastix fascigera Group,formatting and best to leave at genus,Rhabdomastix,Rhabdomastix,Rhabdomastix
Rhabdomastix setigera gr.,,Rhabdomastix (Lurdia),Rhabdomastix (Lurdia),Rhabdomastix (Lurdia)
Rhabdomastix Setigera Gr.,best to leave at subgenus,Rhabdomastix (Lurdia),Rhabdomastix (Lurdia),Rhabdomastix (Lurdia)
Rhabdomastix Setigera Group,,Rhabdomastix (Lurdia),Rhabdomastix (Lurdia),Rhabdomastix (Lurdia)
Rhabdomastix setigera group,best to leave at subgenus,Rhabdomastix (Lurdia),Rhabdomastix (Lurdia),Rhabdomastix (Lurdia)
Rhabdomastix setigera Group,formatting and best to leave at subgenus,Rhabdomastix (Lurdia),Rhabdomastix (Lurdia),Rhabdomastix (Lurdia)
Rhagovelia,"NonTarget - Hemiptera, water column or surface dwellers",Rhagovelia,Rhagovelia,Rhagovelia
Rhagovelia distincta,"NonTarget - Hemiptera, water column or surface dwellers",Rhagovelia distincta,Rhagovelia distincta,Rhagovelia distincta
Rhantus,,Colymbetinae,Dytiscidae,Dytiscidae
Rhantus binotatus,,Colymbetinae,Dytiscidae,Dytiscidae
Rhantus consimilis,,Colymbetinae,Dytiscidae,Dytiscidae
Rheocricotopus,,Rheocricotopus,Rheocricotopus,Rheocricotopus
Rheocricotopus effusus,,Rheocricotopus,Rheocricotopus,Rheocricotopus
Rheocricotopus eminellobus,,Rheocricotopus,Rheocricotopus,Rheocricotopus
Rheopelopia,These should all have been Group,Thienemannimyia Group,Thienemannimyia Group,Thienemannimyia Group
Rheosmittia,,Rheosmittia,Rheosmittia,Rheosmittia
Rheotanytarsus,,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus
Rheotanytarsus exiguus,,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus
Rheotanytarsus exiguus Group,,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus
Rheotanytarsus Exiguus Group,,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus
Rheotanytarsus pellucidus,,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus
Rheotanytarsus pellucidus Group,,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus
Rheotanytarsus Pellucidus Group,,Rheotanytarsus,Rheotanytarsus,Rheotanytarsus
Rhionaeshna,,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna,Aeshna/Rhionaeschna
Rhips,,DNI,DNI,DNI
Rhithrogena,,Rhithrogena,Rhithrogena,Rhithrogena
Rhithrogena hageni,,Rhithrogena,Rhithrogena,Rhithrogena
Rhithrogena robusta,,Rhithrogena,Rhithrogena,Rhithrogena
Rhithropanopeus harrisii,,Rhithropanopeus harrisii,Rhithropanopeus harrisii,Rhithropanopeus harrisii
Rhizelmis,monotypic,Rhizelmis nigra,Rhizelmis nigra,Rhizelmis nigra
Rhizelmis nigra,,Rhizelmis nigra,Rhizelmis nigra,Rhizelmis nigra
Rhyacodrilinae,,Rhyacodrilinae,Oligochaeta,Oligochaeta
Rhyacodrilis,,Rhyacodrilus,Oligochaeta,Oligochaeta
Rhyacodrilus,,Rhyacodrilus,Oligochaeta,Oligochaeta
Rhyacodrilus falciformis,,Rhyacodrilus,Oligochaeta,Oligochaeta
Rhyacophila,formatting,Rhyacophila,Rhyacophila,Rhyacophila
Rhyacophila Alberta Gr.,formatting,Rhyacophila Alberta Group,Rhyacophila Alberta Group,Rhyacophila Alberta Group
Rhyacophila alberta group,formatting,Rhyacophila Alberta Group,Rhyacophila Alberta Group,Rhyacophila Alberta Group
Rhyacophila Alberta Group,formatting,Rhyacophila Alberta Group,Rhyacophila Alberta Group,Rhyacophila Alberta Group
Rhyacophila alberta Group,formatting,Rhyacophila Alberta Group,Rhyacophila Alberta Group,Rhyacophila Alberta Group
Rhyacophila alexanderi,Rhyacophila Alexanderi Group has been sunk as a group.,Rhyacophila alexanderi,Rhyacophila alexanderi,Rhyacophila alexanderi
Rhyacophila angelita,formatting,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group
Rhyacophila Angelita Gr.,formatting,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group
Rhyacophila angelita group,formatting,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group
Rhyacophila Angelita Group,formatting,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group
Rhyacophila angelita Group,formatting,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group
Rhyacophila arnaudi,formatting,Rhyacophila arnaudi,Rhyacophila arnaudi,Rhyacophila arnaudi
Rhyacophila atrata,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex
Rhyacophila atrata complex,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex
Rhyacophila atrata Group,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex
Rhyacophila atrata group,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex
Rhyacophila basalis,formatting,Rhyacophila Basalis Group,Rhyacophila Basalis Group,Rhyacophila Basalis Group
Rhyacophila basalis group,formatting,Rhyacophila Basalis Group,Rhyacophila Basalis Group,Rhyacophila Basalis Group
Rhyacophila Basalis Group,formatting,Rhyacophila Basalis Group,Rhyacophila Basalis Group,Rhyacophila Basalis Group
Rhyacophila betteni,formatting,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila Betteni Gr.,formatting,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila betteni group,formatting,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila Betteni Group,formatting,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila betteni Group,formatting,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila blarina,formatting,Rhyacophila blarina,Rhyacophila blarina,Rhyacophila blarina
Rhyacophila brevicephala,formatting,Rhyacophila,Rhyacophila,Rhyacophila
Rhyacophila brunnea,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila brunnea group,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila brunnea Group,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila Brunnea/Vemna Gr.,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila brunnea/vemna group,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila Brunnea/Vemna Group,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila brunnea/vemna Group,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila brunnea/vemna groups,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila Brunnea/Vemna Groups,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila chilsia,formatting- this should be in betteni group,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila coloradensis,formatting,Rhyacophila Coloradensis Group,Rhyacophila Coloradensis Group,Rhyacophila Coloradensis Group
Rhyacophila Coloradensis Gr.,formatting,Rhyacophila Coloradensis Group,Rhyacophila Coloradensis Group,Rhyacophila Coloradensis Group
Rhyacophila coloradensis group,formatting,Rhyacophila Coloradensis Group,Rhyacophila Coloradensis Group,Rhyacophila Coloradensis Group
Rhyacophila Coloradensis Group,formatting,Rhyacophila Coloradensis Group,Rhyacophila Coloradensis Group,Rhyacophila Coloradensis Group
Rhyacophila coloradensis Group,formatting,Rhyacophila Coloradensis Group,Rhyacophila Coloradensis Group,Rhyacophila Coloradensis Group
Rhyacophila ecosa,formatting,Rhyacophila,Rhyacophila,Rhyacophila
Rhyacophila Ecosa Gr,formatting,Rhyacophila,Rhyacophila,Rhyacophila
Rhyacophila Ecosa group,formatting,Rhyacophila,Rhyacophila,Rhyacophila
Rhyacophila Ecosa Group,formatting,Rhyacophila,Rhyacophila,Rhyacophila
Rhyacophila ecosa group,best to leave at genus,Rhyacophila,Rhyacophila,Rhyacophila
Rhyacophila ecosa Group,best to leave at genus,Rhyacophila,Rhyacophila,Rhyacophila
Rhyacophila grandis,formatting,Rhyacophila Grandis Group,Rhyacophila Grandis Group,Rhyacophila Grandis Group
Rhyacophila Grandis Gr.,formatting,Rhyacophila Grandis Group,Rhyacophila Grandis Group,Rhyacophila Grandis Group
Rhyacophila grandis group,formatting,Rhyacophila Grandis Group,Rhyacophila Grandis Group,Rhyacophila Grandis Group
Rhyacophila Grandis Group,formatting,Rhyacophila Grandis Group,Rhyacophila Grandis Group,Rhyacophila Grandis Group
Rhyacophila hyalinata,formatting,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group
Rhyacophila Hyalinata Gr.,formatting,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group
Rhyacophila hyalinata group,formatting,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group
Rhyacophila Hyalinata Group,formatting,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group
Rhyacophila hyalinata Group,formatting,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group,Rhyacophila Hyalinata Group
Rhyacophila inculta,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila iranda,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila Iranda Gr,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila Iranda Group,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila iranda group,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila lieftincki,formatting,Rhyacophila arnaudi,Rhyacophila arnaudi,Rhyacophila arnaudi
Rhyacophila Lieftincki Gr.,formatting,Rhyacophila arnaudi,Rhyacophila arnaudi,Rhyacophila arnaudi
Rhyacophila lieftincki group,formatting,Rhyacophila arnaudi,Rhyacophila arnaudi,Rhyacophila arnaudi
Rhyacophila malkini,formatting,Rhyacophila malkini,Rhyacophila malkini,Rhyacophila malkini
Rhyacophila Mosana Group,,Rhyacophila Mosana Group,Rhyacophila Mosana Group,Rhyacophila Mosana Group
Rhyacophila narvae,formatting,Rhyacophila narvae,Rhyacophila narvae,Rhyacophila narvae
Rhyacophila neograndis,formatting,Rhyacophila Grandis Group,Rhyacophila Grandis Group,Rhyacophila Grandis Group
Rhyacophila Nevadensis Gr.,formatting,Rhyacophila Nevadensis Group,Rhyacophila Nevadensis Group,Rhyacophila Nevadensis Group
Rhyacophila nevadensis group,formatting,Rhyacophila Nevadensis Group,Rhyacophila Nevadensis Group,Rhyacophila Nevadensis Group
Rhyacophila Nevadensis Group,formatting,Rhyacophila Nevadensis Group,Rhyacophila Nevadensis Group,Rhyacophila Nevadensis Group
Rhyacophila nevadensis Group,formatting,Rhyacophila Nevadensis Group,Rhyacophila Nevadensis Group,Rhyacophila Nevadensis Group
Rhyacophila oreta,formatting,Rhyacophila Basalis Group,Rhyacophila Basalis Group,Rhyacophila Basalis Group
Rhyacophila Oreta Gr.,formatting,Rhyacophila Basalis Group,Rhyacophila Basalis Group,Rhyacophila Basalis Group
Rhyacophila oreta group,"formatting, nomenclature",Rhyacophila Basalis Group,Rhyacophila Basalis Group,Rhyacophila Basalis Group
Rhyacophila Oreta Group,formatting,Rhyacophila Basalis Group,Rhyacophila Basalis Group,Rhyacophila Basalis Group
Rhyacophila oreta/rotunda,formatting,Rhyacophila,Rhyacophila,Rhyacophila
Rhyacophila Oreta/Rotunda Gr.,formatting,Rhyacophila,Rhyacophila,Rhyacophila
Rhyacophila Oreta/Rotunda Group,formatting,Rhyacophila,Rhyacophila,Rhyacophila
Rhyacophila pellisa,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex
Rhyacophila pellisa/valuma,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex
Rhyacophila Pellisa/Valuma Group,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex
Rhyacophila perda,formatting,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila rayneri,,Rhyacophila rayneri,Rhyacophila rayneri,Rhyacophila rayneri
Rhyacophila rickeri,formatting,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group
Rhyacophila rotunda,formatting,Rhyacophila Rotunda Group,Rhyacophila Rotunda Group,Rhyacophila Rotunda Group
Rhyacophila Rotunda Gr.,formatting,Rhyacophila Rotunda Group,Rhyacophila Rotunda Group,Rhyacophila Rotunda Group
Rhyacophila rotunda group,formatting,Rhyacophila Rotunda Group,Rhyacophila Rotunda Group,Rhyacophila Rotunda Group
Rhyacophila Rotunda Group,formatting,Rhyacophila Rotunda Group,Rhyacophila Rotunda Group,Rhyacophila Rotunda Group
Rhyacophila rotunda Group,formatting,Rhyacophila Rotunda Group,Rhyacophila Rotunda Group,Rhyacophila Rotunda Group
Rhyacophila sequoia,,Rhyacophila sequoia,Rhyacophila sequoia,Rhyacophila sequoia
Rhyacophila sibirica,formatting,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group
Rhyacophila Sibirica Gr.,formatting,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group
Rhyacophila sibirica group,formatting,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group
Rhyacophila Sibirica Group,formatting,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group
Rhyacophila sibirica Group,formatting,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group
Rhyacophila sibirica group A,formatting,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group
Rhyacophila sibirica group B,formatting,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group
Rhyacophila sibirica group C,formatting,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group,Rhyacophila Sibirica Group
Rhyacophila tucula,formatting,Rhyacophila Alberta Group,Rhyacophila Alberta Group,Rhyacophila Alberta Group
Rhyacophila unimaculata complex,,Rhyacophila unimaculata complex,Rhyacophila unimaculata complex,Rhyacophila unimaculata complex
Rhyacophila vaccua,formatting,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila vaefes,formatting,Rhyacophila Nevadensis Group,Rhyacophila Nevadensis Group,Rhyacophila Nevadensis Group
Rhyacophila vagrita,formatting,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group
Rhyacophila Vagrita Gr.,formatting,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group
Rhyacophila vagrita group,formatting,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group
Rhyacophila Vagrita Group,formatting,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group
Rhyacophila vagrita Group,formatting,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group,Rhyacophila Vagrita Group
Rhyacophila valuma,formatting,Rhyacophila atrata complex,Rhyacophila atrata complex,Rhyacophila atrata complex
Rhyacophila vedra,formatting,Rhyacophila Betteni Group,Rhyacophila Betteni Group,Rhyacophila Betteni Group
Rhyacophila Vemna Group,formatting,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups,Rhyacophila Brunnea/Vemna Groups
Rhyacophila verrula,formatting,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group
Rhyacophila Verrula Gr.,formatting,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group
Rhyacophila verrula group,formatting,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group
Rhyacophila Verrula Group,formatting,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group
Rhyacophila verrula Group,formatting,Rhyacophila Verrula Group,Rhyacophila Verrula Group,Rhyacophila Verrula Group
Rhyacophila vetina,formatting,Rhyacophila vetina complex,Rhyacophila vetina complex,Rhyacophila vetina complex
Rhyacophila vetina complex,formatting,Rhyacophila vetina complex,Rhyacophila vetina complex,Rhyacophila vetina complex
Rhyacophila vetina Complex,formatting,Rhyacophila vetina complex,Rhyacophila vetina complex,Rhyacophila vetina complex
Rhyacophila viquaea,formatting,Rhyacophila Viquaea Group,Rhyacophila Viquaea Group,Rhyacophila Viquaea Group
Rhyacophila viquaea group,formatting,Rhyacophila Viquaea Group,Rhyacophila Viquaea Group,Rhyacophila Viquaea Group
Rhyacophila Viquaea Group,formatting,Rhyacophila Viquaea Group,Rhyacophila Viquaea Group,Rhyacophila Viquaea Group
Rhyacophila visor group,formatting,Rhyacophila Visor Group,Rhyacophila Visor Group,Rhyacophila Visor Group
Rhyacophila Visor Group,formatting,Rhyacophila Visor Group,Rhyacophila Visor Group,Rhyacophila Visor Group
Rhyacophila visor Group,formatting,Rhyacophila Visor Group,Rhyacophila Visor Group,Rhyacophila Visor Group
Rhyacophila vofixa,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila Vofixa Gr.,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila vofixa group,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila Vofixa Group,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila vofixa Group,formatting,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group,Rhyacophila Vofixa Group
Rhyacophila vuzana,formatting,Rhyacophila Angelita Group,Rhyacophila Angelita Group,Rhyacophila Angelita Group
Rhyacophilidae,formatting,Rhyacophila,Rhyacophila,Rhyacophila
Rhynchelmis,,Rhynchelmis,Oligochaeta,Lumbriculidae
Rhynchobdellida,Too Coarse,Rhynchobdellida,Rhynchobdellida,Rhynchobdellida
Rhypholophus,may be mostly semi-aquatic,Rhypholophus,Rhypholophus,Rhypholophus
Rickera,Slashed taxon,Kogotus/Rickera,Kogotus/Rickera,Kogotus/Rickera
Rickera sorpta,Slashed taxon,Kogotus/Rickera,Kogotus/Rickera,Kogotus/Rickera
Ripistes parasita,,Ripistes parasita,Oligochaeta,Oligochaeta
Rissooidea,Old nomen,Truncatelloidea,Truncatelloidea,Truncatelloidea
Robackia,,Robackia,Robackia,Robackia
Robackia demeijerei,,Robackia,Robackia,Robackia
Roederiodes,,Roederiodes/Wiedemannia,Roederiodes/Wiedemannia,Roederiodes/Wiedemannia
Roederiodes/Wiedemannia,"The key character provided in Merritt et al. 2019 to separate larvae of the two genera (median process on anal division extending well beyond or slightly beyond the dorsolateral lobes) is ambiguous, and thus Roederoides/Wiedemannia is recommended for this",Roederiodes/Wiedemannia,Roederiodes/Wiedemannia,Roederiodes/Wiedemannia
Rossiana montana,"not known from OR, but WA MT BC",Rossiana montana,Rossiana montana,Rossiana montana
Rossianidae,"not known from OR, but WA MT BC ID",Rossianidae,Rossianidae,Rossianidae
Rupisalda,"Swimmers, divers, water surface, and shore dwelling hemipterans incidentally collected in BMI biomonitoring samples. Inclusion in BMI data sets by labs and data consumers is variable.",Rupisalda,Rupisalda,Rupisalda
Sabellidae,Polychaeta excluded,DNI,DNI,DNI
Saetheria,,Saetheria,Saetheria,Saetheria
Salda,semiaquatic,DNI,DNI,DNI
Saldidae,semiaquatic,DNI,DNI,DNI
Saldula,"NonTarget - Hemiptera, water column or surface dwellers",Saldula,Saldula,Saldula
Salmonidae,Fish,DNI,DNI,DNI
Salmoperla sylvanica,,Salmoperla sylvanica,Salmoperla sylvanica,Salmoperla sylvanica
Sanfilippodytes,Genera within Hydroporinae in flux best to leave at subfamily,Sanfilippodytes,Sanfilippodytes,Sanfilippodytes
Sarcophagidae,Terrestrial,DNI,DNI,DNI
Sarcoptiformes,,Acari,Acari,Acari
Sasquaperla hoopa,,Sasquaperla hoopa,Sasquaperla hoopa,Sasquaperla hoopa
Savtshenkia,Subgenus of Tipula,Tipula,Tipula,Tipula
Scathophagidae,Terrestrial,DNI,DNI,DNI
Schummelia,Subgenus of Tipula,Tipula,Tipula,Tipula
Sciaridae,Terrestrial,DNI,DNI,DNI
Sciomyzidae,,Sciomyzidae,Sciomyzidae,Sciomyzidae
Scirtes,,Scirtidae,Scirtidae,Scirtidae
Scirtidae,,Scirtidae,Scirtidae,Scirtidae
Scleroprocta,perhaps mistaken for Ormosia valid,Limoniidae,Limoniidae,Limoniidae
Sepedon,,Sciomyzidae,Sciomyzidae,Sciomyzidae
Sergentia,,Sergentia,Sergentia,Sergentia
Sericostomatidae,Gumaga only member of family in west,Gumaga,Gumaga,Gumaga
Sericostriata,Single species in Genus,Sericostriata surdickae,Sericostriata surdickae,Sericostriata surdickae
Sericostriata surdickae,Single species in Genus,Sericostriata surdickae,Sericostriata surdickae,Sericostriata surdickae
