Taxon_orig,OTU_BCG_v1,Modified_BCG_v1,Rationale_modifyBCG,OTU_FinerRezWorms,Taxon_group
Euryhapsis sp.,Euryhapsis,yes,sp.,Euryhapsis,Chironomidae
Eylais,Acari,yes,mites collapsed to Acari,Eylais,Acari
Eylais sp.,Acari,yes,mites collapsed to Acari,Eylais,Acari
Fallceon,Fallceon,no,,Fallceon,Ephemeroptera
Fallceon quilleri,Fallceon,yes,backed off to genus,Fallceon,Ephemeroptera
Fallceon sp.,Fallceon,yes,sp.,Fallceon,Ephemeroptera
Faxonius,Faxonius,no,,Faxonius,Crustacea
Feltria,Acari,yes,mites collapsed to Acari,Feltria,Acari
Feltria sp.,Acari,yes,mites collapsed to Acari,Feltria,Acari
Ferrissia,Ferrissia,no,,Ferrissia,Mollusca
Ferrissia rowelli,Ferrissia,yes,backed off to genus,Ferrissia,Mollusca
Ferrissia sp.,Ferrissia,yes,sp.,Ferrissia,Mollusca
FISHEROLA,Fisherola,yes,CAPs,Fisherola,Mollusca
Fisherola nuttalli,Fisherola nuttalli,no,,Fisherola nuttalli,Mollusca
Fluminicola,Truncatelloidea,yes,backed off to Truncatelloidea,Truncatelloidea,Mollusca
Fluminicola (new sp. near fuscus),Truncatelloidea,yes,backed off to Truncatelloidea,Truncatelloidea,Mollusca
Fluminicola sp.,Truncatelloidea,yes,backed off to Truncatelloidea,Truncatelloidea,Mollusca
Forcipomyia,Forcipomyiinae,yes,backed off to subfamily,Forcipomyiinae,Diptera
Forcipomyia sp.,Forcipomyiinae,yes,backed off to subfamily,Forcipomyiinae,Diptera
Forcipomyiinae,Forcipomyiinae,no,,Forcipomyiinae,Diptera
Forelia,Acari,yes,mites collapsed to Acari,Forelia,Acari
Fossaria,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Fossaria bulimiodes/cockerelli,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Fossaria sp.,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Galba,Lymnaeidae,yes,backed off to family,Lymnaeidae,Mollusca
Gammaridae,Amphipoda,yes,backed off to Order,Amphipoda,Crustacea
Gammarus,Gammarus,no,,Gammarus,Crustacea
Gammarus (scud),Gammarus,yes,naming scheme,Gammarus,Crustacea
Gammarus sp.,Gammarus,yes,sp.,Gammarus,Crustacea
Gastropoda,Gastropoda,no,TOO COARSE,Gastropoda,Mollusca
Gaufina/Sweltsa,Gaufina/Sweltsa,no,,Gaufina/Sweltsa,Plecoptera
Gerris,DNI,yes,"NonTarget - Hemiptera, water column or surface dwellers",DNI,Hemiptera
Glossiphonia,Glossiphonia,no,,Glossiphonia,Leeches
Glossiphonia complanata,Glossiphonia,yes,backed off to genus,Glossiphonia,Leeches
Glossiphonia sp.,Glossiphonia,yes,sp.,Glossiphonia,Leeches
Glossiphonidae,Glossiphoniidae,yes,misspelling,Glossiphoniidae,Leeches
Glossiphoniidae,Glossiphoniidae,no,,Glossiphoniidae,Leeches
Glossosoma,Glossosoma,no,,Glossosoma,Trichoptera
Glossosoma (tortoise case maker),Glossosoma,yes,naming scheme,Glossosoma,Trichoptera
Glossosoma sp.,Glossosoma,yes,sp.,Glossosoma,Trichoptera
Glossosomatidae,Glossosomatidae,no,,Glossosomatidae,Trichoptera
Glutops,Glutops,no,,Glutops,Diptera
Glutops sp.,Glutops,yes,sp.,Glutops,Diptera
Glyptotendipes,Glyptotendipes,no,,Glyptotendipes,Chironomidae
