"","Taxon","NonTarget","Habit","Hemoglobin","Air","TolVal2","TolVal","FSBI_2012","BSTI_WA.optima","BCG_attr","FFG","Life_Cycle","Habitat","Noteworthy","LONGLIVED","Thermal_indicator","ThermalPref_ALL","ThermTol_Less30","MTTI_WA.optima","MWMT_WAopt","MWMT_PCT90","Therm_TopIndicator","ThermVar","TSN","Kingdom","Phylum","SubPhylum","Class","SubClass","Order","SubOrder","SuperFamily","Family","SubFamily","Tribe","GenusGroup","Genus","SubGenus","SpeciesGroup","SpeciesSubGroup","SpeciesComplex","Species","Taxon_Group"
"87","Baetis",FALSE,"SW","U","F",4,5,NA,NA,"4","CG","multi","RHEO",NA,FALSE,"","Eurythermal","",NA,16.84987042,22.25,"","yes",100800,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","Baetis","","","","","","Ephemeroptera"
"88","Baetis alius",FALSE,"SW","","F",11,1,NA,4.6,"2","CG","multi","RHEO",TRUE,FALSE,"cool","Cool","",15.6,15.91964121,20.677,"","",100803,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","Baetis","","Alius Gr.","","","alius","Ephemeroptera"
"89","Baetis bicaudatus complex",FALSE,"SW","","",4,1,5,7.2,"2","CG","multi","RHEO",NA,FALSE,"stenoc","Cold Stenotherm","",12.3,12.32738854,17.008,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","Baetis","","Rhodani Gr.","","bicaudatus complex","","Ephemeroptera"
"90","Baetis flavistriga complex",FALSE,"SW","","",NA,NA,NA,5.4,"4","CG","multi","RHEO",NA,FALSE,"warm","Warm","",20.9,19.88605649,24.678,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","Baetis","","Fuscatus Gr.","","flavistriga complex","","Ephemeroptera"
"91","Baetis notos",FALSE,"SW","","F",11,4,NA,10.4,"4","CG","multi","RHEO",NA,FALSE,"warm","Warm","",22.2,22.09859522,24.74,"","",568579,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","Baetis","","Fuscatus Gr.","","","notos","Ephemeroptera"
"92","Baetis piscatoris complex",FALSE,"SW","U","U",11,NA,NA,7.5,"4","CG","multi","RHEO",NA,FALSE,"cold","Cold","",14.3,14.53812136,18.842,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","Baetis","","Rhodani Gr.","","piscatoris complex","","Ephemeroptera"
"93","Baetis Rhodani Group",FALSE,"SW","","",NA,NA,NA,NA,"4","CG","multi","RHEO",NA,FALSE,"eurythermal","Eurythermal","",15.2,15.48503852,23.618,"","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","Baetis","","Rhodani Gr.","","","","Ephemeroptera"
"94","Baetis tricaudatus complex",FALSE,"SW","U","F",5,5,NA,11.6,"4","CG","multi","RHEO",NA,FALSE,"eurythermal","Eurythermal","",18.3,18.12650686,22.918,"Eurythermal","",NA,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","Baetis","","Rhodani Gr.","","tricaudatus complex","","Ephemeroptera"
"95","Baetisca",FALSE,"SW","","F",11,4,NA,NA,"","","","",NA,FALSE,"","","",NA,NA,NA,"","",101494,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Carapacea","","Baetiscidae","","","","Baetisca","","","","","","Ephemeroptera"
"96","Baetodes",FALSE,"SW","","",NA,NA,NA,NA,"5","CG","multi","RHEO",NA,FALSE,"","","",NA,NA,NA,"","",100938,"Animalia","Arthropoda","Hexapoda","Insecta","Pterygota","Ephemeroptera","Pisciforma","","Baetidae","","","","Baetodes","","","","","","Ephemeroptera"
"97","Bandakiopsis",FALSE,"UN","F","F",11,NA,NA,NA,"","PR","","",NA,FALSE,"","","Less30",NA,NA,NA,"","",83532,"Animalia","Arthropoda","Chelicerata","Arachnida","Acari","Trombidiformes","Prostigmata","","Anisitsiellidae","","","","Bandakiopsis","","","","","","Other Non-Insect"
