Taxon_Group,Taxon_orig,Taxon_v2,OTU_MTTI_jan23,Changed,Rationale,NonTarget,OTU_BCG_MariNW,TSN,Kingdom,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,SuperFamily,Family,SubFamily,Tribe,GenusGroup,Genus,SubGenus,SpeciesGroup,SpeciesSubGroup,SpeciesComplex,Species
Oligochaeta,Slavina,Slavina,Naidinae,no,,FALSE,Oligochaeta,68855,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Slavina,,,,,
Oligochaeta,Slavina appendiculata,Slavina,Naidinae,yes,,FALSE,Oligochaeta,68855,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Slavina,,,,,
Oligochaeta,Specaria,Specaria,Naidinae,no,,FALSE,Oligochaeta,68984,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Specaria,,,,,
Oligochaeta,Stylaria,Stylaria,Naidinae,no,,FALSE,Oligochaeta,68871,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Stylaria,,,,,
Oligochaeta,Stylaria lacustris,Stylaria,Naidinae,yes,,FALSE,Oligochaeta,68871,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Stylaria,,,,,
Oligochaeta,Uncinais,Uncinais,Naidinae,no,,FALSE,Oligochaeta,68990,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Uncinais,,,,,
Oligochaeta,Uncinais uncinata,Uncinais,Naidinae,yes,There is only one species in this genus,FALSE,Oligochaeta,68990,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Uncinais,,,,,
Oligochaeta,Vejdovskyella,Vejdovskyella,Naidinae,no,,FALSE,Oligochaeta,69009,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,Vejdovskyella,,,,,
Oligochaeta,Naidinae,Naidinae,Naidinae,no,,FALSE,Oligochaeta,974284,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Naidinae,,,,,,,,
Oligochaeta,Nootkadrilus,Nootkadrilus,DNI,no,,FALSE,Oligochaeta,974543,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Phallodrilinae,,,Nootkadrilus,,,,,
Oligochaeta,Pristina,Pristina,Pristina,no,,FALSE,Oligochaeta,68876,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Pristininae,,,Pristina,,,,,
Oligochaeta,Pristina aequiseta,Pristina,Pristina,yes,,FALSE,Oligochaeta,68876,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Pristininae,,,Pristina,,,,,
Oligochaeta,Pristina jenkinae,Pristina,Pristina,yes,,FALSE,Oligochaeta,68876,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Pristininae,,,Pristina,,,,,
Oligochaeta,Bothrioneurum,Bothrioneurum,DNI,no,,FALSE,Oligochaeta,68778,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Bothrioneurum,,,,,
Oligochaeta,Bothrioneurum vejdovskyanum,Bothrioneurum,DNI,yes,,FALSE,Oligochaeta,68778,Animalia,Annelida,,Clitellata,Oligochaeta,Tubificida,,,Naididae,Rhyacodrilinae,,,Bothrioneurum,,,,,
