TAXAID,FAMILY,GENUS,COMMONNAME,BCG_ATTR,BCGATTR_ROMAN,BCG_ATTR2,BCG_ATTR2_ROMAN,BCG_NUM,NATIVE,TROPHIC,HABITAT,REPRODUCTION
ETHEOSTOMA STIGMAEUM,PERCIDAE,ETHEOSTOMA,SPECKLED DARTER,3,III,3_MIDDLE,III,3,NATIVE,IV,B,SIMPLE NEST; LITHOPHIL
ETHEOSTOMA TEDDYROOSEVELT,PERCIDAE,ETHEOSTOMA,HIGHLAND DARTER,,,,,,NATIVE,OM,F,LITHOPHIL
ETHEOSTOMA TETRAZONUM,PERCIDAE,ETHEOSTOMA,MISSOURI SADDLED DARTER,4,IV,4_BETTER,IVa,4,NATIVE,IV,B;F,LITHOPHIL
ETHEOSTOMA UNIPORUM,PERCIDAE,ETHEOSTOMA,CURRENT DARTER,,,,,,NATIVE,IV,B;F,LITHOPHIL
ETHEOSTOMA WHIPPLEI,PERCIDAE,ETHEOSTOMA,REDFIN DARTER,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,LITHOPHIL
ETHEOSTOMA ZONALE,PERCIDAE,ETHEOSTOMA,BANDED DARTER,3,III,3_BETTER,IIIa,3,NATIVE,IV,B;F,BROADCASTER
FUNDULUS,FUNDULIDAE,FUNDULUS,TOPMINNOWS,4,IV,4_BETTER,IVa,4,NATIVE,IV,W,
FUNDULUS CATENATUS,FUNDULIDAE,FUNDULUS,NORTHERN STUDFISH,3,III,3_BETTER,IIIa,3,NATIVE,IV,W,BROADCASTER; LITHOPHIL
FUNDULUS CHRYSOTUS,FUNDULIDAE,FUNDULUS,GOLDEN TOPMINNOW,4,IV,4_BETTER,IVa,4,NATIVE,IV,W,BROADCASTER
FUNDULUS DISPAR,FUNDULIDAE,FUNDULUS,STARHEAD TOPMINNOW,,,,,,NATIVE,IV,W,
FUNDULUS KANSAE,FUNDULIDAE,FUNDULUS,NORTHERN PLAINS KILLIFISH,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,W,
FUNDULUS NOTATUS,FUNDULIDAE,FUNDULUS,BLACKSTRIPE TOPMINNOW,4,IV,4_BETTER,IVa,4,NATIVE,IV,W,BROADCASTER
FUNDULUS OLIVACEUS,FUNDULIDAE,FUNDULUS,BLACKSPOTTED TOPMINNOW,4,IV,4_BETTER,IVa,4,NATIVE,IV,F;W,BROADCASTER
FUNDULUS SCIADICUS,FUNDULIDAE,FUNDULUS,PLAINS TOPMINNOW,3,III,3_BETTER,IIIa,3,NATIVE,IV,W,
FUNDULUS ZEBRINUS,FUNDULIDAE,FUNDULUS,PLAINS KILLIFISH,3,III,3_WORSE,IIIb,3.5,NATIVE,IV,W,LITHOPHIL
GAMBUSIA AFFINIS,POECILIIDAE,GAMBUSIA,WESTERN MOSQUITOFISH,5,V,5_MIDDLE,V,5,NON_NATIVE,IV,W,BEARER
HIODON ALOSOIDES,HIODONTIDAE,HIODON,GOLDEYE,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,BROADCASTER
HIODON TERGISUS,HIODONTIDAE,HIODON,MOONEYE,4,IV,4_BETTER,IVa,4,NATIVE,TC,W,BROADCASTER
HYBOGNATHUS,CYPRINIDAE,HYBOGNATHUS,SILVERY MINNOW,3,III,3_BETTER,IIIa,3,NATIVE,OM,F,
