Taxon_Group,Taxon_orig,NonTarget,Rationale,BenTaxaID,FinalID,OTU_BCG,OTU_IBI,OTU_Final,OTU_Lowest,OTU_Genus,OTU_Family,TSN,ParTSN,Phylum,SubPhylum,Class,SubClass,Order,SubOrder,Family,SubFamily,Tribe,Genus,SubGenus,Species,Variety,Rank
,,,MN Access db,86,Pionidae,Acari,Acari,Acari,NA,NA,NA,83330,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Pionidae,,,,,,,Family
,,,MN Access db,87,Rhynchohydracaridae,Acari,Acari,Acari,NA,NA,NA,,,Arthropoda,,Arachnida,Acarina,Trombidiformes,,Rhynchohydracaridae,,,,,,,Family
,,,MN Access db,88,Sperchontidae,Acari,Acari,Acari,NA,NA,NA,83005,,Arthropoda,,Arachnida,Acarina,Trombidiformes,,Sperchontidae,,,,,,,Family
,,,MN Access db,89,Torrenticolidae,Acari,Acari,Acari,NA,NA,NA,83249,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Torrenticolidae,,,,,,,Family
,,,MN Access db,90,Unionicolidae,Acari,Acari,Acari,NA,NA,NA,83072,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Unionicolidae,,,,,,,Family
,,,MN Access db,91,Hydracarina,Acari,Acari,Acari,NA,NA,NA,,,Arthropoda,,Arachnida,Acarina,Trombidiformes,Hydracarina,,,,,,,,SubOrder
,,,MN Access db,92,Aturidae,Acari,Acari,Acari,NA,NA,NA,82973,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Aturidae,,,,,,,Family
,,,MN Access db,93,Axonopsidae,Acari,Acari,Acari,NA,NA,NA,83434,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Axonopsidae,,,,,,,Family
,,,MN Access db,94,Clathrosperchon,Acari,Acari,Acari,NA,NA,NA,83177,83176,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Clathrosperchonidae,,,Clathrosperchon,,,,Genus
,,,MN Access db,95,Feltriidae,Acari,Acari,Acari,NA,NA,NA,83313,82770,Arthropoda,,Arachnida,Acarina,Trombidiformes,Prostigmata,Feltriidae,,,,,,,Family
